????,?????????????????,????????????,?????????????????,????????????????
9360,FALSE,FALSE,FALSE,FALSE
9702,FALSE,FALSE,FALSE,FALSE
10954,FALSE,FALSE,FALSE,FALSE
12523,FALSE,FALSE,FALSE,FALSE
8566,FALSE,FALSE,FALSE,FALSE
8365,FALSE,FALSE,FALSE,FALSE
10134,FALSE,FALSE,FALSE,FALSE
10133,FALSE,FALSE,FALSE,FALSE
3759,FALSE,FALSE,FALSE,FALSE
4614,FALSE,FALSE,FALSE,FALSE
4975,FALSE,FALSE,FALSE,FALSE
5341,FALSE,FALSE,FALSE,FALSE
6455,FALSE,FALSE,FALSE,FALSE
7737,FALSE,FALSE,FALSE,FALSE
7891,FALSE,FALSE,FALSE,FALSE
8686,FALSE,FALSE,FALSE,FALSE
9988,FALSE,FALSE,FALSE,FALSE
10192,FALSE,FALSE,FALSE,FALSE
10365,FALSE,FALSE,FALSE,FALSE
10416,FALSE,FALSE,FALSE,FALSE
10422,FALSE,FALSE,FALSE,FALSE
10429,FALSE,FALSE,FALSE,FALSE
10513,FALSE,FALSE,FALSE,FALSE
10691,FALSE,FALSE,FALSE,FALSE
10744,FALSE,FALSE,FALSE,FALSE
10847,FALSE,FALSE,FALSE,FALSE
10875,FALSE,FALSE,FALSE,FALSE
11051,FALSE,FALSE,FALSE,FALSE
11076,FALSE,FALSE,FALSE,FALSE
11127,FALSE,FALSE,FALSE,FALSE
11286,FALSE,FALSE,FALSE,FALSE
11313,FALSE,FALSE,FALSE,FALSE
11348,FALSE,FALSE,FALSE,FALSE
11491,FALSE,FALSE,FALSE,FALSE
11500,FALSE,FALSE,FALSE,FALSE
11510,FALSE,FALSE,FALSE,FALSE
11528,FALSE,FALSE,FALSE,FALSE
11558,FALSE,FALSE,FALSE,FALSE
11562,FALSE,FALSE,FALSE,FALSE
11600,FALSE,FALSE,FALSE,FALSE
11613,FALSE,FALSE,FALSE,FALSE
11719,FALSE,FALSE,FALSE,FALSE
7717,FALSE,FALSE,FALSE,FALSE
7175,FALSE,FALSE,FALSE,FALSE
10303,FALSE,FALSE,FALSE,FALSE
665,FALSE,FALSE,FALSE,FALSE
9925,FALSE,FALSE,FALSE,FALSE
8671,FALSE,FALSE,FALSE,FALSE
8506,FALSE,FALSE,FALSE,FALSE
10788,FALSE,FALSE,FALSE,FALSE
2165,FALSE,FALSE,FALSE,FALSE
8562,FALSE,FALSE,FALSE,FALSE
2100,FALSE,FALSE,FALSE,FALSE
9781,FALSE,FALSE,FALSE,FALSE
2110,FALSE,FALSE,FALSE,FALSE
2709,FALSE,FALSE,FALSE,FALSE
4486,FALSE,FALSE,FALSE,FALSE
5788,FALSE,FALSE,FALSE,FALSE
6651,FALSE,FALSE,FALSE,FALSE
6745,FALSE,FALSE,FALSE,FALSE
7421,FALSE,FALSE,FALSE,FALSE
7788,FALSE,FALSE,FALSE,FALSE
8949,FALSE,FALSE,FALSE,FALSE
9796,FALSE,FALSE,FALSE,FALSE
10115,FALSE,FALSE,FALSE,FALSE
10119,FALSE,FALSE,FALSE,FALSE
10622,FALSE,FALSE,FALSE,FALSE
6313,FALSE,FALSE,FALSE,FALSE
11671,FALSE,FALSE,FALSE,FALSE
9644,FALSE,FALSE,FALSE,FALSE
9305,FALSE,FALSE,FALSE,FALSE
10895,FALSE,FALSE,FALSE,FALSE
11373,FALSE,FALSE,FALSE,FALSE
10066,FALSE,FALSE,FALSE,FALSE
7531,FALSE,FALSE,FALSE,FALSE
4714,FALSE,FALSE,FALSE,FALSE
8745,FALSE,FALSE,FALSE,FALSE
5573,FALSE,FALSE,FALSE,FALSE
9703,FALSE,FALSE,FALSE,FALSE
2638,FALSE,FALSE,FALSE,FALSE
9084,FALSE,FALSE,FALSE,FALSE
9754,FALSE,FALSE,FALSE,FALSE
7568,FALSE,FALSE,FALSE,FALSE
5374,FALSE,FALSE,FALSE,FALSE
11141,FALSE,FALSE,FALSE,FALSE
11565,FALSE,FALSE,FALSE,FALSE
10266,FALSE,FALSE,FALSE,FALSE
6656,FALSE,FALSE,FALSE,FALSE
3747,FALSE,FALSE,FALSE,FALSE
1925,FALSE,FALSE,FALSE,FALSE
11844,FALSE,FALSE,FALSE,FALSE
8298,FALSE,FALSE,FALSE,FALSE
3726,FALSE,FALSE,FALSE,FALSE
8663,FALSE,FALSE,FALSE,FALSE
11285,FALSE,FALSE,FALSE,FALSE
7660,FALSE,FALSE,FALSE,FALSE
8840,FALSE,FALSE,FALSE,FALSE
11353,FALSE,FALSE,FALSE,FALSE
10386,FALSE,FALSE,FALSE,FALSE
6040,FALSE,FALSE,FALSE,FALSE
7538,FALSE,FALSE,FALSE,FALSE
11660,FALSE,FALSE,FALSE,FALSE
2908,FALSE,FALSE,FALSE,FALSE
7202,FALSE,FALSE,FALSE,FALSE
5073,FALSE,FALSE,FALSE,FALSE
2386,FALSE,FALSE,FALSE,FALSE
11005,FALSE,FALSE,FALSE,FALSE
4635,FALSE,FALSE,FALSE,FALSE
10232,FALSE,FALSE,FALSE,FALSE
11001,FALSE,FALSE,FALSE,FALSE
3351,FALSE,FALSE,FALSE,FALSE
11630,FALSE,FALSE,FALSE,FALSE
8581,FALSE,FALSE,FALSE,FALSE
10132,FALSE,FALSE,FALSE,FALSE
10824,FALSE,FALSE,FALSE,FALSE
7082,FALSE,FALSE,FALSE,FALSE
8810,FALSE,FALSE,FALSE,FALSE
4092,FALSE,FALSE,FALSE,FALSE
11235,FALSE,FALSE,FALSE,FALSE
11134,FALSE,FALSE,FALSE,FALSE
10002,FALSE,FALSE,FALSE,FALSE
8340,FALSE,FALSE,FALSE,FALSE
1219,FALSE,FALSE,FALSE,FALSE
9099,FALSE,FALSE,FALSE,FALSE
9100,FALSE,FALSE,FALSE,FALSE
7903,FALSE,FALSE,FALSE,FALSE
3658,FALSE,FALSE,FALSE,FALSE
5184,FALSE,FALSE,FALSE,FALSE
5262,FALSE,FALSE,FALSE,FALSE
5606,FALSE,FALSE,FALSE,FALSE
5608,FALSE,FALSE,FALSE,FALSE
6208,FALSE,FALSE,FALSE,FALSE
6613,FALSE,FALSE,FALSE,FALSE
6746,FALSE,FALSE,FALSE,FALSE
6879,FALSE,FALSE,FALSE,FALSE
7349,FALSE,FALSE,FALSE,FALSE
7993,FALSE,FALSE,FALSE,FALSE
8460,FALSE,FALSE,FALSE,FALSE
9691,FALSE,FALSE,FALSE,FALSE
9074,FALSE,FALSE,FALSE,FALSE
9109,FALSE,FALSE,FALSE,FALSE
9752,FALSE,FALSE,FALSE,FALSE
9830,FALSE,FALSE,FALSE,FALSE
9834,FALSE,FALSE,FALSE,FALSE
10008,FALSE,FALSE,FALSE,FALSE
10101,FALSE,FALSE,FALSE,FALSE
10320,FALSE,FALSE,FALSE,FALSE
238,FALSE,FALSE,FALSE,FALSE
239,FALSE,FALSE,FALSE,FALSE
2728,FALSE,FALSE,FALSE,FALSE
7134,FALSE,FALSE,FALSE,FALSE
9598,FALSE,FALSE,FALSE,FALSE
10306,FALSE,FALSE,FALSE,FALSE
10309,FALSE,FALSE,FALSE,FALSE
6768,FALSE,FALSE,FALSE,FALSE
9780,FALSE,FALSE,FALSE,FALSE
10129,FALSE,FALSE,FALSE,FALSE
10431,FALSE,FALSE,FALSE,FALSE
10414,FALSE,FALSE,FALSE,FALSE
10393,FALSE,FALSE,FALSE,FALSE
7047,FALSE,FALSE,FALSE,FALSE
6670,FALSE,FALSE,FALSE,FALSE
8765,FALSE,FALSE,FALSE,FALSE
8412,FALSE,FALSE,FALSE,FALSE
7810,FALSE,FALSE,FALSE,FALSE
5014,FALSE,FALSE,FALSE,FALSE
10369,FALSE,FALSE,FALSE,FALSE
4369,FALSE,FALSE,FALSE,FALSE
9491,FALSE,FALSE,FALSE,FALSE
10140,FALSE,FALSE,FALSE,FALSE
8791,FALSE,FALSE,FALSE,FALSE
737,FALSE,FALSE,FALSE,FALSE
1161,FALSE,FALSE,FALSE,FALSE
1360,FALSE,FALSE,FALSE,FALSE
