,professional_id,equipment
0,19,เครื่องดูดฝุ่น
1,66,เครื่องดูดฝุ่น
2,105,เครื่องดูดฝุ่น
3,115,เครื่องดูดฝุ่น
4,61,เครื่องดูดฝุ่น
5,114,เครื่องดูดฝุ่น
6,91,เครื่องดูดฝุ่น
7,74,เครื่องดูดฝุ่น
8,36,เครื่องดูดฝุ่น
9,113,เครื่องดูดฝุ่น
10,94,เครื่องดูดฝุ่น
11,119,เครื่องดูดฝุ่น
12,98,เครื่องดูดฝุ่น
13,116,เครื่องดูดฝุ่น
14,24,เครื่องดูดฝุ่น
15,52,เครื่องดูดฝุ่น
16,65,เครื่องดูดฝุ่น
17,118,เครื่องดูดฝุ่น
18,125,เครื่องดูดฝุ่น
19,121,เครื่องดูดฝุ่น
20,99,เครื่องดูดฝุ่น
21,56,เครื่องดูดฝุ่น
22,108,เครื่องดูดฝุ่น
23,86,เครื่องดูดฝุ่น
24,63,เครื่องดูดฝุ่น
25,21,เครื่องดูดฝุ่น
26,132,เครื่องดูดฝุ่น
27,133,เครื่องดูดฝุ่น
28,128,เครื่องดูดฝุ่น
29,143,เครื่องดูดฝุ่น
30,40,เครื่องดูดฝุ่น
31,145,เครื่องดูดฝุ่น
32,79,เครื่องดูดฝุ่น
33,150,เครื่องดูดฝุ่น
34,122,เครื่องดูดฝุ่น
35,146,เครื่องดูดฝุ่น
36,138,เครื่องดูดฝุ่น
37,135,เครื่องดูดฝุ่น
38,149,เครื่องดูดฝุ่น
39,81,เครื่องดูดฝุ่น
40,163,เครื่องดูดฝุ่น
41,166,เครื่องดูดฝุ่น
42,168,เครื่องดูดฝุ่น
43,59,เครื่องดูดฝุ่น
44,170,เครื่องดูดฝุ่น
45,173,เครื่องดูดฝุ่น
46,172,เครื่องดูดฝุ่น
47,155,เครื่องดูดฝุ่น
48,136,เครื่องดูดฝุ่น
49,190,เครื่องดูดฝุ่น
50,165,เครื่องดูดฝุ่น
51,192,เครื่องดูดฝุ่น
52,191,เครื่องดูดฝุ่น
53,164,เครื่องดูดฝุ่น
54,193,เครื่องดูดฝุ่น
55,167,เครื่องดูดฝุ่น
56,194,เครื่องดูดฝุ่น
57,198,เครื่องดูดฝุ่น
58,195,เครื่องดูดฝุ่น
59,196,เครื่องดูดฝุ่น
60,97,เครื่องดูดฝุ่น
61,197,เครื่องดูดฝุ่น
62,206,เครื่องดูดฝุ่น
63,207,เครื่องดูดฝุ่น
64,205,เครื่องดูดฝุ่น
65,187,เครื่องดูดฝุ่น
66,213,เครื่องดูดฝุ่น
67,210,เครื่องดูดฝุ่น
68,212,เครื่องดูดฝุ่น
69,185,เครื่องดูดฝุ่น
70,216,เครื่องดูดฝุ่น
71,131,เครื่องดูดฝุ่น
72,223,เครื่องดูดฝุ่น
73,225,เครื่องดูดฝุ่น
74,218,เครื่องดูดฝุ่น
75,228,เครื่องดูดฝุ่น
76,217,เครื่องดูดฝุ่น
77,251,เครื่องดูดฝุ่น
78,250,เครื่องดูดฝุ่น
79,247,เครื่องดูดฝุ่น
80,237,เครื่องดูดฝุ่น
81,233,เครื่องดูดฝุ่น
82,270,เครื่องดูดฝุ่น
83,242,เครื่องดูดฝุ่น
84,275,เครื่องดูดฝุ่น
85,220,เครื่องดูดฝุ่น
86,239,เครื่องดูดฝุ่น
87,238,เครื่องดูดฝุ่น
88,234,เครื่องดูดฝุ่น
89,211,เครื่องดูดฝุ่น
90,207,เครื่องดูดฝุ่น
91,207,เครื่องดูดฝุ่น
92,207,เครื่องดูดฝุ่น
93,207,เครื่องดูดฝุ่น
94,207,เครื่องดูดฝุ่น
95,207,เครื่องดูดฝุ่น
96,207,เครื่องดูดฝุ่น
97,277,เครื่องดูดฝุ่น
98,279,เครื่องดูดฝุ่น
99,201,เครื่องดูดฝุ่น
100,241,เครื่องดูดฝุ่น
101,280,เครื่องดูดฝุ่น
102,287,เครื่องดูดฝุ่น
103,292,เครื่องดูดฝุ่น
104,285,เครื่องดูดฝุ่น
105,12,เครื่องดูดฝุ่น
106,260,เครื่องดูดฝุ่น
107,34,เครื่องดูดฝุ่น
108,255,เครื่องดูดฝุ่น
109,92,เครื่องดูดฝุ่น
110,183,เครื่องดูดฝุ่น
111,26,เครื่องดูดฝุ่น
112,227,เครื่องดูดฝุ่น
113,326,เครื่องดูดฝุ่น
114,291,เครื่องดูดฝุ่น
115,328,เครื่องดูดฝุ่น
116,224,เครื่องดูดฝุ่น
117,109,เครื่องดูดฝุ่น
118,257,เครื่องดูดฝุ่น
119,316,เครื่องดูดฝุ่น
120,302,เครื่องดูดฝุ่น
121,341,เครื่องดูดฝุ่น
122,301,เครื่องดูดฝุ่น
123,298,เครื่องดูดฝุ่น
124,249,เครื่องดูดฝุ่น
125,290,เครื่องดูดฝุ่น
126,321,เครื่องดูดฝุ่น
127,372,เครื่องดูดฝุ่น
128,374,เครื่องดูดฝุ่น
129,375,เครื่องดูดฝุ่น
130,359,เครื่องดูดฝุ่น
131,351,เครื่องดูดฝุ่น
132,356,เครื่องดูดฝุ่น
133,366,เครื่องดูดฝุ่น
134,373,เครื่องดูดฝุ่น
135,367,เครื่องดูดฝุ่น
136,349,เครื่องดูดฝุ่น
137,383,เครื่องดูดฝุ่น
138,391,เครื่องดูดฝุ่น
139,395,เครื่องดูดฝุ่น
140,179,เครื่องดูดฝุ่น
141,377,เครื่องดูดฝุ่น
142,399,เครื่องดูดฝุ่น
143,392,เครื่องดูดฝุ่น
144,393,เครื่องดูดฝุ่น
145,410,เครื่องดูดฝุ่น
146,407,เครื่องดูดฝุ่น
147,406,เครื่องดูดฝุ่น
148,409,เครื่องดูดฝุ่น
149,400,เครื่องดูดฝุ่น
150,413,เครื่องดูดฝุ่น
