,professional_id,decline_pet
0,4236,สัตว์เลื้อยคลาน
1,1978,สุนัข
2,1978,แมว
3,1978,สัตว์เลื้อยคลาน
4,1978,สัตว์มีขน
5,1978,อื่น ๆ
6,7986,แมว
7,7986,สัตว์เลื้อยคลาน
8,8557,สัตว์มีขน
9,8557,สัตว์เลื้อยคลาน
10,8586,สัตว์เลื้อยคลาน
11,8588,สัตว์เลื้อยคลาน
12,3011,สัตว์เลื้อยคลาน
13,7215,สัตว์เลื้อยคลาน
14,8462,สัตว์เลื้อยคลาน
15,8591,สุนัข
16,8591,แมว
17,8591,สัตว์เลื้อยคลาน
18,8591,สัตว์มีขน
19,8594,สัตว์เลื้อยคลาน
20,8312,สัตว์มีขน
21,8608,อื่น ๆ
22,8617,สัตว์เลื้อยคลาน
23,8530,สัตว์เลื้อยคลาน
24,8609,สัตว์เลื้อยคลาน
25,8283,สุนัข
26,8283,สัตว์เลื้อยคลาน
27,7893,สัตว์เลื้อยคลาน
28,5181,สัตว์เลื้อยคลาน
29,5181,สุนัข
30,8632,สัตว์เลื้อยคลาน
31,8574,สัตว์เลื้อยคลาน
32,8324,สัตว์เลื้อยคลาน
33,8633,สัตว์เลื้อยคลาน
34,8506,สัตว์เลื้อยคลาน
35,8190,สัตว์เลื้อยคลาน
36,8637,สัตว์เลื้อยคลาน
37,8637,สัตว์มีขน
38,8638,สุนัข
39,8638,แมว
40,8638,สัตว์เลื้อยคลาน
41,8638,สัตว์มีขน
42,8638,สุนัข
43,8638,แมว
44,8638,สัตว์เลื้อยคลาน
45,8638,สัตว์มีขน
46,8639,สุนัข
47,8414,สัตว์เลื้อยคลาน
48,8643,อื่น ๆ
49,8651,สัตว์เลื้อยคลาน
50,8645,สุนัข
51,8645,แมว
52,8645,สัตว์มีขน
53,8653,สัตว์เลื้อยคลาน
54,8653,สัตว์มีขน
55,8634,สัตว์เลื้อยคลาน
56,8634,แมว
57,8634,สัตว์มีขน
58,8645,สัตว์เลื้อยคลาน
59,8047,สัตว์มีขน
60,8047,สัตว์เลื้อยคลาน
61,8047,อื่น ๆ
62,3674,แมว
63,3674,สัตว์มีขน
64,8661,สุนัข
65,8661,แมว
66,8661,สัตว์เลื้อยคลาน
67,8661,สัตว์มีขน
68,8665,สุนัข
69,8665,สัตว์เลื้อยคลาน
70,8665,สัตว์มีขน
71,8665,อื่น ๆ
72,8305,สัตว์เลื้อยคลาน
73,7198,สัตว์เลื้อยคลาน
74,7198,อื่น ๆ
75,8494,สัตว์มีขน
76,8494,สุนัข
77,8494,แมว
78,8494,สัตว์เลื้อยคลาน
79,8636,สุนัข
80,8514,สัตว์เลื้อยคลาน
81,8294,สัตว์เลื้อยคลาน
82,6765,สัตว์เลื้อยคลาน
83,8625,สุนัข
84,8625,แมว
85,8625,สัตว์เลื้อยคลาน
86,8625,สัตว์มีขน
87,8670,สัตว์เลื้อยคลาน
88,8605,สุนัข
89,8605,แมว
90,8605,สัตว์เลื้อยคลาน
91,8605,สัตว์มีขน
92,8605,อื่น ๆ
93,8655,สัตว์เลื้อยคลาน
94,8507,สัตว์เลื้อยคลาน
95,8658,สัตว์เลื้อยคลาน
96,8660,สัตว์เลื้อยคลาน
97,8648,สุนัข
98,8648,แมว
99,8648,สัตว์เลื้อยคลาน
100,8648,สัตว์มีขน
101,8521,สุนัข
102,8521,แมว
103,8644,สัตว์เลื้อยคลาน
104,8654,สุนัข
105,8654,แมว
106,8654,สัตว์เลื้อยคลาน
107,8654,สัตว์มีขน
108,8673,สัตว์เลื้อยคลาน
109,7945,สัตว์เลื้อยคลาน
110,7986,อื่น ๆ
111,8532,สัตว์เลื้อยคลาน
112,7226,สัตว์เลื้อยคลาน
113,7893,อื่น ๆ
114,8570,สัตว์เลื้อยคลาน
115,7523,สัตว์เลื้อยคลาน
116,8260,สัตว์เลื้อยคลาน
117,8708,สุนัข
118,8604,สุนัข
119,8604,สัตว์เลื้อยคลาน
120,8440,สัตว์เลื้อยคลาน
121,8521,สัตว์เลื้อยคลาน
122,8521,สัตว์มีขน
123,8521,อื่น ๆ
124,8130,สัตว์เลื้อยคลาน
125,8493,สัตว์เลื้อยคลาน
126,8698,สัตว์เลื้อยคลาน
127,8689,สุนัข
128,8562,สัตว์เลื้อยคลาน
129,8562,สัตว์มีขน
130,8666,สุนัข
131,8666,แมว
132,8666,สัตว์เลื้อยคลาน
133,8666,สัตว์มีขน
134,8583,สัตว์เลื้อยคลาน
135,8703,สัตว์เลื้อยคลาน
136,8344,สุนัข
137,8344,สัตว์เลื้อยคลาน
138,8628,สุนัข
139,8628,แมว
140,8628,สัตว์เลื้อยคลาน
141,8628,สัตว์มีขน
142,8694,สัตว์เลื้อยคลาน
143,8692,สัตว์เลื้อยคลาน
144,8535,สุนัข
145,8535,แมว
146,8535,สัตว์เลื้อยคลาน
147,8535,สัตว์มีขน
148,8623,สัตว์เลื้อยคลาน
149,8726,สัตว์เลื้อยคลาน
150,8571,สัตว์เลื้อยคลาน
151,8606,แมว
152,8606,สุนัข
153,8606,สัตว์เลื้อยคลาน
154,8606,สัตว์มีขน
155,8678,สัตว์เลื้อยคลาน
156,8510,สัตว์เลื้อยคลาน
157,8701,สัตว์เลื้อยคลาน
158,8743,สัตว์เลื้อยคลาน
159,8727,สุนัข
160,8727,แมว
161,8727,สัตว์เลื้อยคลาน
162,8727,สัตว์มีขน
163,8729,สุนัข
164,8729,แมว
165,8729,สัตว์เลื้อยคลาน
166,8729,สัตว์มีขน
167,8714,สัตว์เลื้อยคลาน
168,8714,สัตว์เลื้อยคลาน
169,8710,สัตว์มีขน
170,8710,สัตว์เลื้อยคลาน
171,8710,แมว
172,8710,สุนัข
173,8748,สัตว์เลื้อยคลาน
174,8749,สัตว์เลื้อยคลาน
175,8627,สัตว์เลื้อยคลาน
176,8757,สุนัข
177,8757,สัตว์เลื้อยคลาน
178,8757,สัตว์มีขน
179,8757,แมว
180,5229,สัตว์เลื้อยคลาน
181,8760,สุนัข
182,8760,แมว
183,8760,สัตว์เลื้อยคลาน
184,8760,สัตว์มีขน
185,8728,สุนัข
186,8728,แมว
187,8728,สัตว์เลื้อยคลาน
188,8728,สัตว์มีขน
189,805,สัตว์เลื้อยคลาน
190,8659,สัตว์เลื้อยคลาน
191,8657,สัตว์เลื้อยคลาน
192,8719,สัตว์เลื้อยคลาน
193,8768,สัตว์เลื้อยคลาน
194,8761,สัตว์เลื้อยคลาน
195,8761,สัตว์มีขน
196,8761,แมว
197,8761,สุนัข
198,8758,สุนัข
199,8758,แมว
200,8758,สัตว์เลื้อยคลาน
201,8758,สัตว์มีขน
202,8758,อื่น ๆ
203,8764,สัตว์เลื้อยคลาน
204,8768,สุนัข
205,6987,สัตว์เลื้อยคลาน
206,4803,สุนัข
207,4803,แมว
208,4803,สัตว์เลื้อยคลาน
209,4803,สัตว์มีขน
210,1382,สัตว์เลื้อยคลาน
211,8767,สัตว์มีขน
212,8767,สัตว์เลื้อยคลาน
213,8685,สุนัข
214,8697,สุนัข
215,8697,สัตว์เลื้อยคลาน
216,8697,สัตว์มีขน
217,8697,แมว
218,8763,สุนัข
219,8763,แมว
220,8626,สุนัข
221,8626,สัตว์เลื้อยคลาน
222,8626,สัตว์มีขน
223,8705,สัตว์เลื้อยคลาน
224,8779,สัตว์เลื้อยคลาน
225,8786,สัตว์มีขน
226,8786,สัตว์เลื้อยคลาน
227,8786,สุนัข
228,8786,แมว
229,8361,สุนัข
230,8361,แมว
231,1889,สัตว์เลื้อยคลาน
232,3621,สัตว์เลื้อยคลาน
233,3621,สุนัข
234,3621,แมว
235,3621,สัตว์มีขน
236,3621,อื่น ๆ
237,8709,สุนัข
238,8709,แมว
239,8713,สัตว์เลื้อยคลาน
240,8799,สัตว์เลื้อยคลาน
241,8663,สัตว์เลื้อยคลาน
242,8663,สัตว์มีขน
243,8634,สุนัข
244,8799,สุนัข
245,8799,แมว
246,8799,สัตว์มีขน
247,8712,สัตว์เลื้อยคลาน
248,8550,สัตว์เลื้อยคลาน
249,8706,สัตว์เลื้อยคลาน
250,8573,สัตว์เลื้อยคลาน
251,3699,แมว
252,3699,สุนัข
253,8597,สัตว์เลื้อยคลาน
254,8793,สัตว์เลื้อยคลาน
255,8796,แมว
256,8805,สัตว์เลื้อยคลาน
257,8734,สัตว์เลื้อยคลาน
258,8793,แมว
259,8793,สัตว์มีขน
260,8793,สุนัข
261,7324,สุนัข
262,7324,สัตว์เลื้อยคลาน
263,7324,สัตว์มีขน
264,8772,สัตว์เลื้อยคลาน
265,8783,สัตว์เลื้อยคลาน
266,8776,สัตว์เลื้อยคลาน
267,8686,สัตว์เลื้อยคลาน
268,8686,สัตว์มีขน
269,8816,สุนัข
270,8816,แมว
271,8812,สุนัข
272,8812,แมว
273,8812,สัตว์เลื้อยคลาน
274,8812,สัตว์มีขน
275,8795,สัตว์เลื้อยคลาน
276,8795,สัตว์มีขน
277,8566,สัตว์เลื้อยคลาน
278,8566,สัตว์มีขน
279,8621,สัตว์เลื้อยคลาน
280,8815,สุนัข
281,8828,สัตว์เลื้อยคลาน
282,8788,สัตว์เลื้อยคลาน
283,8788,สุนัข
284,8788,แมว
285,8788,สัตว์มีขน
286,8512,สุนัข
287,8512,สัตว์เลื้อยคลาน
288,8512,สัตว์มีขน
289,652,แมว
290,652,สุนัข
291,8837,สุนัข
292,8837,แมว
293,8837,สัตว์เลื้อยคลาน
294,8837,สัตว์มีขน
295,8840,สัตว์เลื้อยคลาน
296,8840,สัตว์มีขน
297,8840,สุนัข
298,8840,แมว
299,8744,สัตว์มีขน
300,8745,สัตว์เลื้อยคลาน
301,8738,สัตว์เลื้อยคลาน
302,8738,แมว
303,8738,สุนัข
304,8738,สัตว์มีขน
305,8778,สัตว์เลื้อยคลาน
306,8341,สัตว์เลื้อยคลาน
307,8696,สัตว์มีขน
308,8746,สัตว์เลื้อยคลาน
309,8716,แมว
310,8716,สัตว์เลื้อยคลาน
311,8716,สัตว์มีขน
312,8809,สุนัข
313,8809,แมว
314,8809,สัตว์เลื้อยคลาน
315,8809,สัตว์มีขน
316,7113,สัตว์เลื้อยคลาน
317,8721,สุนัข
318,8721,สัตว์เลื้อยคลาน
319,8721,สัตว์มีขน
320,8753,สัตว์เลื้อยคลาน
321,8849,สัตว์เลื้อยคลาน
322,7875,สัตว์เลื้อยคลาน
323,8493,สุนัข
324,8493,แมว
325,8493,สัตว์มีขน
326,8708,แมว
327,8803,สัตว์เลื้อยคลาน
328,8375,สัตว์เลื้อยคลาน
329,8859,สัตว์เลื้อยคลาน
330,8857,สัตว์เลื้อยคลาน
331,8844,สัตว์เลื้อยคลาน
332,5891,สัตว์เลื้อยคลาน
333,5891,อื่น ๆ
334,8820,สุนัข
335,5553,สุนัข
336,5553,สัตว์มีขน
337,8791,สัตว์เลื้อยคลาน
338,8456,สุนัข
339,8456,แมว
340,8456,สัตว์เลื้อยคลาน
341,8456,สัตว์มีขน
342,8456,อื่น ๆ
343,8826,สุนัข
344,8866,อื่น ๆ
345,8822,สัตว์เลื้อยคลาน
346,8676,สัตว์เลื้อยคลาน
347,7073,สัตว์เลื้อยคลาน
348,8798,สัตว์เลื้อยคลาน
349,8406,สัตว์เลื้อยคลาน
350,8406,สัตว์มีขน
351,8406,อื่น ๆ
352,8596,สัตว์เลื้อยคลาน
353,8871,สัตว์เลื้อยคลาน
354,8690,สัตว์มีขน
355,8762,แมว
356,8762,สัตว์เลื้อยคลาน
357,8762,สัตว์มีขน
358,8762,สุนัข
359,8856,สัตว์เลื้อยคลาน
360,8864,สุนัข
361,8864,แมว
362,8864,สัตว์เลื้อยคลาน
363,8813,อื่น ๆ
364,8813,สุนัข
365,8813,แมว
366,8813,สัตว์เลื้อยคลาน
367,8813,สัตว์มีขน
368,8777,สัตว์เลื้อยคลาน
369,8771,สัตว์เลื้อยคลาน
370,8725,สัตว์เลื้อยคลาน
371,7387,สัตว์เลื้อยคลาน
372,7442,สัตว์เลื้อยคลาน
373,8879,สัตว์เลื้อยคลาน
374,8775,สัตว์เลื้อยคลาน
375,8899,สัตว์มีขน
376,8517,สัตว์เลื้อยคลาน
377,4377,สัตว์เลื้อยคลาน
378,8742,สัตว์เลื้อยคลาน
379,8814,สัตว์เลื้อยคลาน
380,8801,แมว
381,8801,สัตว์เลื้อยคลาน
382,8801,สัตว์มีขน
383,8801,สุนัข
384,8801,อื่น ๆ
385,8806,สัตว์เลื้อยคลาน
386,8626,แมว
387,8312,สุนัข
388,8312,แมว
389,8702,สุนัข
390,8702,แมว
391,8702,สัตว์เลื้อยคลาน
392,8702,สัตว์มีขน
393,8794,สัตว์เลื้อยคลาน
394,8897,สัตว์เลื้อยคลาน
395,8882,สัตว์เลื้อยคลาน
396,8882,สัตว์มีขน
397,8875,สุนัข
398,8912,สุนัข
399,8912,สัตว์เลื้อยคลาน
400,8912,สัตว์มีขน
401,8912,แมว
402,8912,อื่น ๆ
403,1239,สัตว์เลื้อยคลาน
404,8924,สัตว์เลื้อยคลาน
405,8927,สัตว์เลื้อยคลาน
406,8921,สัตว์เลื้อยคลาน
407,8929,สุนัข
408,8929,แมว
409,8830,สัตว์เลื้อยคลาน
410,8903,สุนัข
411,8903,สัตว์เลื้อยคลาน
412,8839,สัตว์เลื้อยคลาน
413,8842,สุนัข
414,8842,แมว
415,8842,สัตว์เลื้อยคลาน
416,8842,สัตว์มีขน
417,8925,สัตว์เลื้อยคลาน
418,8329,สัตว์เลื้อยคลาน
419,4360,สัตว์เลื้อยคลาน
420,8904,สัตว์เลื้อยคลาน
421,8914,สัตว์เลื้อยคลาน
422,8824,สัตว์เลื้อยคลาน
423,8934,สุนัข
424,8934,สัตว์เลื้อยคลาน
425,8937,สัตว์เลื้อยคลาน
426,7158,สุนัข
427,7158,แมว
428,6765,แมว
429,6765,สุนัข
430,8948,สัตว์เลื้อยคลาน
431,8913,สุนัข
432,8913,แมว
433,8913,สัตว์เลื้อยคลาน
434,8913,สัตว์มีขน
435,8919,อื่น ๆ
436,1838,แมว
437,1838,สุนัข
438,1838,สัตว์เลื้อยคลาน
439,1838,สัตว์มีขน
440,8950,สุนัข
441,8950,สัตว์มีขน
442,8950,สัตว์เลื้อยคลาน
443,8841,สัตว์เลื้อยคลาน
444,8903,สัตว์มีขน
445,8880,สัตว์เลื้อยคลาน
446,8631,สุนัข
447,8631,สัตว์เลื้อยคลาน
448,8953,สุนัข
449,8953,สัตว์เลื้อยคลาน
450,8920,สัตว์เลื้อยคลาน
451,8920,แมว
452,8920,สุนัข
453,8920,สัตว์มีขน
454,6745,แมว
455,8868,สัตว์เลื้อยคลาน
456,8867,สัตว์เลื้อยคลาน
457,8848,สัตว์เลื้อยคลาน
458,8852,สุนัข
459,8852,สัตว์เลื้อยคลาน
460,8854,สุนัข
461,8865,สุนัข
462,8865,แมว
463,8865,สัตว์เลื้อยคลาน
464,8865,สัตว์มีขน
465,8883,สัตว์เลื้อยคลาน
466,8883,สัตว์มีขน
467,8950,อื่น ๆ
468,8950,แมว
469,8947,สัตว์เลื้อยคลาน
470,8945,สัตว์เลื้อยคลาน
471,8707,สัตว์เลื้อยคลาน
472,8954,สัตว์เลื้อยคลาน
473,8954,สัตว์มีขน
474,1331,สุนัข
475,2942,สัตว์เลื้อยคลาน
476,8102,สัตว์เลื้อยคลาน
477,8806,สุนัข
478,8936,สัตว์เลื้อยคลาน
479,8877,แมว
480,8877,สัตว์เลื้อยคลาน
481,8869,สัตว์เลื้อยคลาน
482,8869,แมว
483,8869,สุนัข
484,8869,สัตว์มีขน
485,8965,สัตว์เลื้อยคลาน
486,8965,สัตว์มีขน
487,8965,สุนัข
488,8735,สัตว์เลื้อยคลาน
489,8974,สัตว์เลื้อยคลาน
490,8974,สุนัข
491,8974,แมว
492,8974,สัตว์มีขน
493,8973,สุนัข
494,8973,แมว
495,8973,สัตว์เลื้อยคลาน
496,8973,สัตว์มีขน
497,8973,อื่น ๆ
498,8833,สัตว์เลื้อยคลาน
499,8432,สุนัข
500,8432,แมว
501,8432,สัตว์เลื้อยคลาน
502,8432,สัตว์มีขน
503,8432,อื่น ๆ
504,8888,สัตว์เลื้อยคลาน
505,8888,สัตว์มีขน
506,5405,สัตว์เลื้อยคลาน
507,8873,สัตว์เลื้อยคลาน
